caller_id,callee_id,started_at,duration
+81 308 988 7153,+7 414 625 3019,2018-09-17T05:58:16,2575
+62 107 530 7500,+86 921 547 9004,2018-09-27T18:02:22,546
+54 398 559 0423,+1 254 875 4647,2018-09-17T18:41:52,869
+62 107 530 7500,+36 318 105 5629,2018-09-16T04:41:12,139
+263 498 495 0617,+7 552 196 4096,2018-09-21T06:44:17,53
+81 308 988 7153,+86 892 682 0628,2018-09-27T12:32:32,457
+7 690 597 4443,+351 515 605 7915,2018-09-18T03:42:30,157
+54 398 559 0423,+48 195 624 2025,2018-09-21T21:20:56,207
+54 398 559 0423,+7 552 196 4096,2018-09-25T15:32:57,500
+261 860 539 4754,+86 892 682 0628,2018-09-17T23:45:04,30
+263 498 495 0617,+7 552 196 4096,2018-09-22T19:17:54,161
+62 107 530 7500,+351 515 605 7915,2018-09-22T02:01:08,306
+81 308 988 7153,+57 629 420 5680,2018-09-19T21:03:04,129
+261 860 539 4754,+7 552 196 4096,2018-09-22T07:55:23,594
+54 398 559 0423,+63 808 497 1769,2018-09-23T02:24:36,125
+7 690 597 4443,+62 533 266 3426,2018-09-26T09:21:22,100
+54 398 559 0423,+36 318 105 5629,2018-09-21T13:00:15,172
+7 690 597 4443,+63 815 962 6097,2018-09-16T23:11:52,6789
+62 107 530 7500,+48 894 777 5173,2018-09-19T07:41:23,66
+62 107 530 7500,+7 552 196 4096,2018-09-22T17:26:29,950
+63 815 962 6097,+7 414 625 3019,2018-09-16T23:28:04,144
+62 107 530 7500,+7 171 898 0853,2018-09-27T17:33:06,4868
+63 815 962 6097,+7 171 898 0853,2018-09-15T10:03:34,6298
+370 351 224 5176,+63 808 497 1769,2018-09-16T20:26:23,2606
+263 498 495 0617,+86 921 547 9004,2018-09-28T05:06:44,886
+81 308 988 7153,+54 398 559 0423,2018-09-23T04:48:41,3458
+261 860 539 4754,+27 117 258 4149,2018-09-26T22:32:19,609
+263 498 495 0617,+351 515 605 7915,2018-09-25T03:50:51,68
+81 308 988 7153,+351 272 414 6570,2018-09-23T09:20:33,212
+370 351 224 5176,+86 892 682 0628,2018-09-17T16:52:29,156
+7 690 597 4443,+351 515 605 7915,2018-09-18T09:21:38,60
+261 860 539 4754,+63 808 497 1769,2018-09-16T22:11:35,681
+63 815 962 6097,+7 552 196 4096,2018-09-21T15:12:44,124
+63 815 962 6097,+86 892 682 0628,2018-09-22T05:39:03,124
+54 398 559 0423,+48 195 624 2025,2018-09-23T18:08:42,163
+370 351 224 5176,+1 254 875 4647,2018-09-25T13:06:40,45
+63 815 962 6097,+62 107 530 7500,2018-09-24T05:05:43,3924
+370 351 224 5176,+7 552 196 4096,2018-09-17T21:40:47,79
+62 107 530 7500,+48 894 777 5173,2018-09-19T04:16:21,79
+62 107 530 7500,+63 808 497 1769,2018-09-16T03:22:12,988
+263 498 495 0617,+86 202 257 8619,2018-09-26T00:41:44,164
+370 351 224 5176,+48 697 447 6933,2018-09-20T18:55:03,212
+370 351 224 5176,+30 419 575 7546,2018-09-25T15:20:43,283
+54 398 559 0423,+7 690 597 4443,2018-09-26T00:06:19,2357
+81 746 154 2598,+351 272 414 6570,2018-09-22T13:27:01,157
+81 308 988 7153,+1 254 875 4647,2018-09-18T07:53:09,295
+7 171 898 0853,+81 746 154 2598,2018-09-17T07:13:25,9460
+62 107 530 7500,+86 892 682 0628,2018-09-15T22:08:23,2308
+370 351 224 5176,+86 892 682 0628,2018-09-23T02:24:15,1018
+7 690 597 4443,+263 498 495 0617,2018-09-26T17:22:34,10499
+54 398 559 0423,+48 195 624 2025,2018-09-16T18:17:49,47
+63 815 962 6097,+63 808 497 1769,2018-09-17T07:29:13,1036
+54 398 559 0423,+81 308 988 7153,2018-09-27T08:22:32,6468
+370 351 224 5176,+33 614 339 0298,2018-09-17T01:58:04,77
+63 815 962 6097,+263 498 495 0617,2018-09-19T23:16:49,2519
+81 746 154 2598,+1 254 875 4647,2018-09-15T07:02:32,914
+62 107 530 7500,+81 308 988 7153,2018-09-22T04:57:20,4455
+54 398 559 0423,+62 107 530 7500,2018-09-28T01:57:20,5272
+261 860 539 4754,+36 318 105 5629,2018-09-14T17:18:49,1111
+81 308 988 7153,+86 922 760 0418,2018-09-23T21:11:41,290
+263 498 495 0617,+351 515 605 7915,2018-09-25T22:57:07,169
+263 498 495 0617,+86 825 153 5518,2018-09-20T19:43:24,276
+370 351 224 5176,+48 894 777 5173,2018-09-17T14:43:15,4
+7 171 898 0853,+86 892 682 0628,2018-09-20T22:48:50,655
+63 815 962 6097,+48 697 447 6933,2018-09-17T13:54:54,146
+63 815 962 6097,+30 419 575 7546,2018-09-25T20:34:51,22
+81 746 154 2598,+86 892 682 0628,2018-09-24T21:14:56,1177
+62 107 530 7500,+7 690 597 4443,2018-09-20T21:01:36,6227
+81 308 988 7153,+63 808 497 1769,2018-09-23T11:04:36,67
+63 815 962 6097,+1 254 875 4647,2018-09-15T22:31:03,71
+7 171 898 0853,+86 202 257 8619,2018-09-19T02:01:36,60
+7 690 597 4443,+86 922 760 0418,2018-09-25T05:22:05,2544
+7 690 597 4443,+62 107 530 7500,2018-09-17T18:51:01,7444
+62 107 530 7500,+81 308 988 7153,2018-09-26T03:49:07,1696
+81 308 988 7153,+54 398 559 0423,2018-09-22T15:58:58,9465
+81 308 988 7153,+30 419 575 7546,2018-09-21T17:02:25,442
+81 308 988 7153,+81 746 154 2598,2018-09-21T16:46:05,3928
+263 498 495 0617,+7 690 597 4443,2018-09-24T08:11:36,10309
+261 860 539 4754,+62 533 266 3426,2018-09-24T15:41:04,76
+263 498 495 0617,+48 195 624 2025,2018-09-20T01:13:18,997
+63 815 962 6097,+36 318 105 5629,2018-09-24T08:53:14,90
+63 815 962 6097,+63 808 497 1769,2018-09-25T11:47:59,124
+261 860 539 4754,+48 894 777 5173,2018-09-15T21:44:00,1122
+63 815 962 6097,+86 892 682 0628,2018-09-21T17:24:29,520
+7 171 898 0853,+62 107 530 7500,2018-09-23T12:10:49,3251
+261 860 539 4754,+48 697 447 6933,2018-09-28T08:52:06,599
+7 690 597 4443,+86 921 547 9004,2018-09-18T06:03:28,160
+370 351 224 5176,+7 552 196 4096,2018-09-17T19:51:51,79
+62 107 530 7500,+7 171 898 0853,2018-09-21T12:08:28,6538
+81 308 988 7153,+86 921 547 9004,2018-09-21T02:19:22,508
+62 107 530 7500,+7 552 196 4096,2018-09-23T00:35:41,809
+54 398 559 0423,+86 892 682 0628,2018-09-16T15:16:47,2457
+62 107 530 7500,+33 614 339 0298,2018-09-17T09:48:54,93
+7 171 898 0853,+54 398 559 0423,2018-09-23T03:19:40,1259
+263 498 495 0617,+81 746 154 2598,2018-09-26T08:08:28,6475
+261 860 539 4754,+7 552 196 4096,2018-09-14T22:01:01,547
+81 308 988 7153,+81 746 154 2598,2018-09-23T20:04:51,4941
+263 498 495 0617,+7 552 196 4096,2018-09-16T03:35:49,134
+81 308 988 7153,+7 171 898 0853,2018-09-20T11:38:53,9705
+62 107 530 7500,+81 746 154 2598,2018-09-28T00:37:16,6945
+62 107 530 7500,+86 921 547 9004,2018-09-18T23:25:20,3225
+81 746 154 2598,+62 533 266 3426,2018-09-14T23:33:20,27
+62 107 530 7500,+30 419 575 7546,2018-09-19T07:52:06,174
+7 690 597 4443,+63 808 497 1769,2018-09-16T09:42:58,143
+81 308 988 7153,+63 815 962 6097,2018-09-19T02:17:35,5413
+62 107 530 7500,+81 308 988 7153,2018-09-26T06:19:03,3552
+7 171 898 0853,+86 202 257 8619,2018-09-20T08:28:51,170
+81 746 154 2598,+86 921 547 9004,2018-09-24T06:33:20,108
+62 107 530 7500,+86 921 547 9004,2018-09-25T10:37:27,556
+7 690 597 4443,+7 414 625 3019,2018-09-26T11:17:09,1051
+54 398 559 0423,+86 921 547 9004,2018-09-21T21:49:34,802
+7 690 597 4443,+62 533 266 3426,2018-09-23T11:41:10,1903
+54 398 559 0423,+7 414 625 3019,2018-09-21T15:26:33,175
+63 815 962 6097,+36 318 105 5629,2018-09-24T06:23:45,166
+7 690 597 4443,+1 254 875 4647,2018-09-25T04:08:43,501
+63 815 962 6097,+86 921 547 9004,2018-09-20T23:50:37,52
+7 690 597 4443,+30 419 575 7546,2018-09-24T01:11:29,1959
+63 815 962 6097,+48 697 447 6933,2018-09-17T18:43:42,29
+62 107 530 7500,+86 922 760 0418,2018-09-19T19:07:10,3196
+7 171 898 0853,+86 202 257 8619,2018-09-25T06:05:16,4362
+62 107 530 7500,+63 815 962 6097,2018-09-17T16:57:41,4016
+261 860 539 4754,+86 202 257 8619,2018-09-24T19:45:03,422
+81 308 988 7153,+48 894 777 5173,2018-09-23T20:00:30,720
+81 746 154 2598,+86 922 760 0418,2018-09-16T21:33:26,402
+81 746 154 2598,+63 808 497 1769,2018-09-22T06:56:03,44
+63 815 962 6097,+86 922 760 0418,2018-09-28T09:45:40,78
+63 815 962 6097,+351 515 605 7915,2018-09-27T13:01:03,113
+7 171 898 0853,+57 629 420 5680,2018-09-17T12:20:01,128
+63 815 962 6097,+36 318 105 5629,2018-09-26T08:07:59,1171
+81 308 988 7153,+48 697 447 6933,2018-09-20T19:41:35,126
+7 690 597 4443,+7 552 196 4096,2018-09-20T01:48:26,176
+261 860 539 4754,+7 690 597 4443,2018-09-14T23:40:40,4389
+54 398 559 0423,+7 414 625 3019,2018-09-17T23:24:18,2391
+63 815 962 6097,+86 922 760 0418,2018-09-15T04:32:48,44
+81 308 988 7153,+86 825 153 5518,2018-09-28T14:57:53,160
+81 308 988 7153,+63 815 962 6097,2018-09-16T07:34:42,9303
+7 171 898 0853,+86 892 682 0628,2018-09-23T01:37:19,141
+81 308 988 7153,+63 808 497 1769,2018-09-22T08:48:48,83
+370 351 224 5176,+62 533 266 3426,2018-09-15T12:12:59,426
+81 308 988 7153,+351 515 605 7915,2018-09-20T14:12:40,51
+370 351 224 5176,+54 398 559 0423,2018-09-21T22:45:47,8861
+370 351 224 5176,+33 614 339 0298,2018-09-23T22:18:08,162
+81 308 988 7153,+27 117 258 4149,2018-09-25T00:26:05,69
+263 498 495 0617,+62 533 266 3426,2018-09-20T03:03:46,12
+62 107 530 7500,+86 892 682 0628,2018-09-26T14:12:03,68
+81 746 154 2598,+48 195 624 2025,2018-09-26T21:20:35,136
+54 398 559 0423,+86 921 547 9004,2018-09-24T09:38:52,80
+63 815 962 6097,+1 254 875 4647,2018-09-20T12:02:37,9
+81 308 988 7153,+48 894 777 5173,2018-09-28T06:12:49,156
+370 351 224 5176,+351 515 605 7915,2018-09-16T22:31:25,543
+7 690 597 4443,+48 697 447 6933,2018-09-19T00:12:47,132
+81 746 154 2598,+351 515 605 7915,2018-09-19T08:10:14,76
+54 398 559 0423,+81 746 154 2598,2018-09-18T22:47:52,5356
+63 815 962 6097,+7 552 196 4096,2018-09-23T01:14:56,53
